"stop_outcome","ticket_count","warning_count","stop_district","stop_duration_mins","person_searched","property_searched","traffic_involved","gender","ethnicity","age","primary_stop_reason","day_of_week","time_category"
"Arrest",0,0,"5D",4,"1","0","0","Female","Black",16,"warrant/court order","Tue","Afternoon"
"Arrest",0,0,"7D",7,"0","0","0","Male","Black",28,"information obtained from law enforcement sources","Tue","Afternoon"
"Arrest",0,0,"5D",10,"0","0","0","Male","Black",33,"warrant/court order","Tue","Afternoon"
"Arrest",0,0,"7D",5,"0","0","0","Female","Black",33,"call for service","Tue","Afternoon"
"Arrest",0,0,"6D",15,"0","0","0","Male","Black",66,"call for service","Tue","Afternoon"
"Arrest",0,0,"4D",20,"1","0","0","Male","Black",24,"call for service","Tue","Afternoon"
"Arrest",0,0,"2D",40,"0","0","1","Female","Black",44,"call for service","Tue","Afternoon"
"No Action",0,0,"5D",10,"0","0","0","Male","Black",29,"responding to bolo","Tue","Afternoon"
"Arrest",0,0,"1D",3,"1","0","0","Male","Black",27,"warrant/court order","Tue","Afternoon"
"No Action",0,0,"5D",2,"0","0","0","Female","Unknown",15,"call for service","Tue","Afternoon"
"No Action",0,0,"5D",2,"0","0","0","Female","Black",17,"call for service","Tue","Afternoon"
"No Action",0,0,"5D",2,"0","0","0","Male","Black",15,"call for service","Tue","Afternoon"
"No Action",0,0,"5D",2,"0","0","0","Female","Black",17,"call for service","Tue","Afternoon"
"No Action",0,0,"3D",5,"0","0","0","Male","Black",46,"responding to bolo","Tue","Afternoon"
"Arrest",0,0,"7D",15,"0","0","0","Female","White",52,"responding to individual's actions","Tue","Afternoon"
"Arrest",0,0,"6D",20,"0","0","0","Male","Black",27,"call for service","Tue","Afternoon"
"Arrest",0,0,"4D",20,"0","0","0","Male","Hispanic/Latino",34,"responding to bolo","Tue","Afternoon"
"No Action",0,0,"1D",7,"0","0","0","Male","White",31,"officer initiated","Tue","Evening"
"No Action",0,0,"5D",13,"0","0","0","Male","White",28,"call for service","Tue","Evening"
"No Action",0,0,"3D",8,"0","0","0","Male","Hispanic/Latino",NA,"responding to individual's actions","Tue","Afternoon"
"Arrest",0,0,"1D",2,"0","0","0","Female","White",50,"warrant/court order","Tue","Evening"
"No Action",0,0,"3D",11,"0","0","0","Male","Black",61,"responding to individual's actions","Tue","Afternoon"
"Arrest",0,0,"3D",10,"0","0","0","Female","Black",20,"call for service","Tue","Evening"
"No Action",0,0,"3D",26,"0","0","0","Male","Black",34,"call for service","Tue","Afternoon"
"Arrest",0,0,"5D",15,"0","0","0","Male","Black",75,"call for service","Tue","Evening"
"Arrest",0,0,"7D",5,"0","0","0","Male","Black",38,"call for service","Tue","Evening"
"Arrest",0,0,"5D",10,"0","0","0","Male","Black",43,"warrant/court order","Tue","Evening"
"Arrest",0,0,"2D",26,"0","0","1","Male","Black",34,"traffic response","Tue","Night"
"No Action",0,0,"4D",13,"1","1","0","Male","Black",27,"traffic response","Tue","Night"
"Arrest",0,0,"6D",35,"0","0","0","Male","Black",43,"responding to individual's actions","Tue","Night"
"Arrest",0,0,"4D",6,"0","0","0","Female","Black",61,"responding to individual's actions","Tue","Night"
"Arrest",0,0,"5D",30,"0","0","0","Male","Black",33,"call for service","Tue","Night"
"No Action",0,0,"6D",7,"1","0","0","Male","Black",NA,"call for service","Tue","Night"
"Arrest",0,0,"3D",53,"0","0","0","Male","Multiple",19,"responding to bolo","Tue","Night"
"Arrest",0,0,"3D",53,"0","0","0","Male","Multiple",19,"responding to bolo","Tue","Night"
"No Action",0,0,"7D",49,"0","0","0","Female","Black",20,"call for service","Tue","Night"
"Arrest",0,0,"7D",5,"0","0","0","Male","Black",32,"call for service","Tue","Night"
"Arrest",0,0,"7D",15,"0","0","0","Female","Black",30,"call for service","Tue","Night"
"No Action",0,0,"7D",15,"0","0","0","Male","Black",37,"call for service","Tue","Night"
"No Action",0,0,"4D",19,"0","0","0","Male","Black",NA,"call for service","Tue","Night"
"Arrest",0,0,"3D",20,"0","0","0","Male","Hispanic/Latino",25,"officer initiated","Wed","Night"
"No Action",0,0,"6D",30,"1","0","0","Male","Black",24,"officer initiated","Wed","Night"
"No Action",0,0,"6D",30,"1","0","0","Male","Black",17,"officer initiated","Wed","Night"
"No Action",0,0,"6D",30,"1","0","0","Female","Unknown",16,"officer initiated","Wed","Night"
"No Action",0,0,"6D",30,"1","0","0","Male","Black",18,"officer initiated","Wed","Night"
"No Action",0,0,"6D",5,"1","0","0","Male","Black",NA,"demeanor during a field contact","Tue","Night"
"No Action",0,0,"6D",5,"1","0","0","Male","Black",14,"demeanor during a field contact","Tue","Night"
"No Action",0,0,"7D",8,"0","0","0","Male","Black",28,"information obtained from law enforcement sources","Wed","Night"
"No Action",0,0,"6D",10,"1","0","0","Male","Black",15,"responding to individual's actions","Tue","Night"
"No Action",0,0,"6D",2,"0","0","0","Male","Black",20,"traffic response","Wed","Night"
"No Action",0,0,"6D",2,"0","0","0","Male","Black",20,"traffic response","Wed","Night"
"No Action",0,0,"6D",9,"0","0","0","Male","Black",34,"traffic response","Wed","Night"
"Arrest",0,0,"6D",35,"0","0","0","Male","Black",37,"call for service","Wed","Night"
"Arrest",0,0,"1D",46,"1","0","0","Female","Black",15,"warrant/court order","Wed","Night"
"No Action",0,0,"5D",15,"0","0","0","Male","Black",29,"call for service","Tue","Night"
"No Action",0,0,"3D",30,"0","0","0","Female","Black",27,"call for service","Wed","Night"
"No Action",0,0,"3D",9,"0","0","0","Female","Black",28,"call for service","Wed","Night"
"No Action",0,0,"1D",10,"0","0","0","Male","White",34,"call for service","Wed","Night"
"No Action",0,0,"6D",16,"0","0","0","Male","Black",60,"demeanor during a field contact","Wed","Night"
"No Action",0,0,"5D",15,"1","0","0","Male","Black",24,"responding to individual's actions","Tue","Night"
"Arrest",0,0,"6D",5,"0","0","0","Male","Black",35,"call for service","Wed","Night"
"No Action",0,0,"3D",105,"0","0","0","Male","Black",51,"call for service","Wed","Night"
"No Action",0,0,"5D",10,"0","0","0","Male","Hispanic/Latino",24,"call for service","Tue","Night"
"No Action",0,0,"5D",10,"0","0","0","Male","Hispanic/Latino",20,"call for service","Tue","Night"
"Warning",0,0,"2D",10,"0","0","1","Male","Black",23,"officer initiated","Tue","Morning"
"Ticket",0,0,"3D",5,"0","0","1","Male","Black",35,"officer initiated","Tue","Evening"
"Ticket",0,0,"3D",5,"0","0","1","Male","Unknown",36,"officer initiated","Wed","Night"
"Ticket",0,0,"4D",25,"0","0","1","Male","Hispanic/Latino",23,"officer initiated","Tue","Night"
"Ticket",0,0,"7D",5,"0","0","1","Female","Black",49,"officer initiated","Tue","Night"
"Ticket",0,0,"7D",5,"0","0","1","Female","Black",50,"officer initiated","Tue","Night"
"Warning",0,0,"5D",5,"0","0","1","Female","Black",33,"officer initiated","Tue","Night"
"Ticket",0,0,"5D",5,"0","0","1","Female","Black",35,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"3D",10,"0","0","1","Female","Black",65,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"5D",5,"0","0","1","Female","Black",42,"officer initiated","Tue","Night"
"Ticket",0,0,"3D",5,"0","0","1","Male","Hispanic/Latino",24,"officer initiated","Wed","Night"
"Warning",0,0,"3D",5,"0","0","1","Female","Black",NA,"officer initiated","Tue","Morning"
"Ticket",0,0,"4D",10,"0","0","1","Male","Black",54,"officer initiated","Tue","Night"
"Ticket",0,0,"2D",5,"0","0","1","Female","Black",31,"officer initiated","Tue","Evening"
"Warning",0,0,"4D",10,"0","0","1","Male","Black",33,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"5D",5,"0","0","1","Female","Black",30,"officer initiated","Tue","Night"
"Ticket",0,0,"2D",20,"0","0","1","Female","White",59,"call for service","Tue","Afternoon"
"Ticket",0,0,"2D",5,"0","0","1","Male","White",31,"officer initiated","Tue","Evening"
"Ticket",0,0,"3D",10,"0","0","1","Male","Hispanic/Latino",48,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"5D",15,"0","0","1","Male","Black",31,"officer initiated","Tue","Night"
"Ticket",0,0,"3D",5,"0","0","1","Female","Black",44,"officer initiated","Tue","Night"
"Ticket",0,0,"5D",5,"0","0","1","Female","Black",26,"officer initiated","Tue","Night"
"Ticket",0,0,"1D",10,"0","0","1","Female","Black",28,"responding to bolo","Tue","Night"
"Ticket",0,0,"7D",5,"0","0","1","Male","Black",32,"officer initiated","Tue","Night"
"Ticket",0,0,"5D",5,"0","0","1","Male","White",39,"officer initiated","Tue","Night"
"Warning",0,0,"4D",10,"0","0","1","Female","Hispanic/Latino",33,"officer initiated","Tue","Night"
"Warning",0,0,"1D",5,"0","0","1","Female","Black",31,"officer initiated","Wed","Night"
"Ticket",0,0,"3D",30,"0","0","1","Female","Black",26,"call for service","Tue","Afternoon"
"Warning",0,0,"4D",10,"0","0","1","Male","Hispanic/Latino",29,"officer initiated","Tue","Night"
"Ticket",0,0,"3D",10,"0","0","1","Male","Black",25,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"3D",5,"0","0","1","Male","Unknown",39,"officer initiated","Tue","Evening"
"Ticket",0,0,"5D",5,"0","0","1","Female","Black",24,"officer initiated","Tue","Night"
"Ticket",0,0,"7D",5,"0","0","1","Male","Hispanic/Latino",40,"officer initiated","Tue","Night"
"Warning",0,0,"3D",5,"0","0","1","Male","Black",65,"officer initiated","Tue","Morning"
"Warning",0,0,"3D",10,"0","0","1","Female","Black",56,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"3D",10,"0","0","1","Female","Unknown",36,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"3D",10,"0","0","1","Male","Black",58,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"5D",30,"0","0","1","Male","Unknown",69,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"3D",10,"0","0","1","Female","White",60,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"7D",5,"0","0","1","Female","Black",28,"officer initiated","Tue","Night"
"Ticket",0,0,"7D",5,"0","0","1","Female","Black",28,"officer initiated","Tue","Night"
"Ticket",0,0,"1D",10,"0","0","1","Female","Hispanic/Latino",46,"officer initiated","Tue","Night"
"Ticket",0,0,"3D",5,"0","0","1","Male","Black",43,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"7D",5,"0","0","1","Male","Black",52,"officer initiated","Tue","Night"
"Ticket",0,0,"3D",25,"0","0","1","Male","Hispanic/Latino",37,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"2D",5,"0","0","1","Male","White",75,"officer initiated","Tue","Evening"
"Warning",0,0,"5D",5,"0","0","1","Male","White",32,"officer initiated","Wed","Night"
"Ticket",0,0,"4D",10,"0","0","1","Male","White",44,"officer initiated","Tue","Night"
"Ticket",0,0,"1D",5,"0","0","1","Male","Black",29,"officer initiated","Tue","Night"
"Warning",0,0,"5D",5,"0","0","1","Male","White",39,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"7D",5,"0","0","1","Male","Black",43,"officer initiated","Tue","Night"
"Ticket",0,0,"4D",10,"0","0","1","Female","Black",30,"officer initiated","Tue","Night"
"Ticket",0,0,"4D",5,"0","0","1","Female","Black",32,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"5D",5,"0","0","1","Female","White",71,"officer initiated","Tue","Afternoon"
"Ticket",0,0,"2D",10,"0","0","1","Male","White",74,"officer initiated","Tue","Evening"
"Warning",0,0,"1D",5,"0","0","1","Male","Black",52,"responding to bolo","Tue","Morning"
"Warning",0,0,"7D",10,"0","0","1","Female","Black",20,"officer initiated","Wed","Night"
"Ticket",0,0,"7D",5,"0","0","1","Female","Black",36,"officer initiated","Tue","Night"
"Ticket",0,0,"5D",5,"0","0","1","Female","Black",28,"officer initiated","Tue","Night"
